customer_id,valuations,chosen_bundle,chosen_surplus,chosen_profit,alt_bundle,alt_surplus,margin_vs_alt
37,"[0.9331303680340072, 3.579169729795092, 5.9756801640462305, 7.582937932462867, 10.679082956549586]",31,0.6553,2.5947,29,0.6553,0.0000
33,"[1.0746821156720658, 3.4783057835342692, 5.762688365141412, 7.657380823443142, 10.922979072168664]",31,0.8013,2.5947,25,0.7539,0.0474
15,"[0.9633276769383735, 3.5611362985034587, 6.031914342234915, 8.540007114694998, 10.209253387679588]",31,1.2109,2.5947,15,1.1335,0.0774
23,"[1.090835257277701, 3.958977370400978, 5.492738428566588, 7.984583543816974, 10.799341900430335]",31,1.2317,2.5947,27,1.2251,0.0066
9,"[1.1316958785380153, 3.5114237180971997, 5.6814954491462695, 8.340147968044764, 10.696999062086135]",31,1.2670,2.5947,23,1.1436,0.1234
36,"[1.2438703571831684, 3.3125861500540976, 5.900487799285527, 7.114914962432259, 10.054855065317952]",29,0.0000,2.2618,0,0.0000,0.0000
32,"[1.234086627559214, 3.5032725938023566, 6.312154532092265, 7.3722799602340325, 9.615887580711524]",29,0.1536,2.2618,0,0.0000,0.1536
38,"[1.2817760994405876, 3.5753329132196026, 5.805588595313354, 7.4583139576965225, 10.40137154154239]",29,0.5523,2.2618,25,0.5364,0.0159
47,"[1.4414842978656863, 3.668289793613213, 5.845676286451586, 7.486048146925944, 10.424672543199865]",29,0.8683,2.2618,25,0.8124,0.0560
30,"[1.6983091939348731, 3.3895993450483237, 5.898209490326146, 6.643181719192041, 10.714340472992093]",29,1.1887,2.2618,21,1.1009,0.0878
3,"[1.3958860434437859, 3.019212650273729, 5.065754837750391, 8.153459174109411, 10.387712388745602]",27,0.3476,2.2086,18,0.3128,0.0348
22,"[1.6847121224604775, 3.5891237987263698, 5.19263344727893, 7.923080153197023, 10.018559493336419]",27,0.6068,2.2086,26,0.6068,0.0000
10,"[1.1106468478348068, 3.406921124888888, 4.271147771399003, 8.463845685781125, 10.288984100014357]",27,0.6618,2.2086,11,0.5820,0.0798
39,"[1.1507605320310046, 3.9630825308800257, 5.303324961135916, 8.408891360046674, 10.23179873124836]",27,1.1459,2.2086,11,1.0260,0.1199
