customer_id,valuations,bundle_surplus,chosen_bundle,chosen_surplus,chosen_profit,alt_bundle,alt_surplus
4435,"[1.1926945865614011, 3.1937547311695536, 6.42729135272084, 7.123065865540051, 10.074337674615597]",-0.0011,20,0.7605,0.9595,13,0.4484
3759,"[0.9697519174062613, 3.210384667233555, 4.9937141187999154, 7.96423296217822, 10.872743721014047]",-0.0014,11,0.4728,1.9745,9,0.3161
4519,"[1.8008600423411703, 3.24708443982451, 5.562509790876264, 7.496943507436096, 9.903398172854605]",-0.0015,20,0.5039,0.9595,16,0.2457
4463,"[0.4633981550506413, 3.1024955179981872, 5.819786901862345, 8.392895746199976, 10.231815528638947]",-0.0019,7,0.6181,2.0764,6,0.5518
967,"[0.3586415318007432, 3.165438324841884, 5.208124297830968, 8.830266672093115, 10.447550942022623]",-0.0022,11,0.8687,1.9745,3,0.7463
4860,"[1.4075883778346652, 3.3884899528165886, 4.865219286126749, 8.30364789297467, 10.480920130719829]",-0.0013,27,0.8759,2.3047,19,0.6852
4683,"[0.9806853895121066, 2.948478910635481, 6.079004344542687, 7.79675599640853, 10.200010663903715]",-0.0022,7,0.2494,2.0764,6,0.2149
774,"[1.2121008773227513, 3.558573804612776, 5.238310565859451, 8.238832444645757, 10.366716187335118]",-0.0027,27,0.6715,2.3047,31,0.6023
2956,"[1.1558383068212479, 2.794422975545067, 5.826317047780098, 7.654992062959904, 10.41842210278548]",-0.0031,5,0.1502,1.5945,20,0.1226
1876,"[1.8518004722861816, 3.6644875332697584, 5.453805067984734, 7.609078406595654, 10.140805142792804]",-0.0032,31,0.7077,2.5123,29,0.5998
2128,"[2.0989095035013174, 3.4159185503737843, 5.771519015146647, 7.965141118046323, 9.934943272345187]",-0.0002,31,1.1742,2.5123,20,1.0109
2429,"[1.241956213246299, 3.9094421804235315, 5.530978203756891, 7.182492532512983, 10.464471623585496]",-0.0004,13,0.6579,1.7970,29,0.6357
4143,"[1.1577033450021736, 4.213945258321688, 5.033496004217468, 7.935301575713937, 9.904421248635023]",-0.0006,27,0.5066,2.3047,11,0.4792
3066,"[0.3980747919384968, 3.66819846931981, 5.981723544554214, 7.727605999145495, 9.709504076774385]",-0.0007,14,0.1664,1.9111,13,0.1124
1970,"[1.2688451462934753, 3.577204900227935, 5.520250716776507, 7.752702351317612, 10.235023439680129]",-0.0026,31,0.3418,2.5123,27,0.1290
