instance_id,variant_key,variant_name,dist_family,rho,heterogeneity,cost_scenario,status_text,objective,revenue_in_sample,revenue_out_sample,delta_in_vs_current,delta_out_vs_current,price_l1_vs_current,price_linf_vs_current,runtime,bundle_count_selected
cpbsd_instance_001_N5_K50_normal_rho0.0_full_hvhm,current,Current solver,normal,0.0,full,hvhm,TIME_LIMIT,1.7753641289337392,1.775364128933736,1.1474100971371188,0.0,0.0,0.0,0.0,60.00773286819458,17
cpbsd_instance_001_N5_K50_normal_rho0.0_full_hvhm,outside_only,Paper outside option,normal,0.0,full,hvhm,TIME_LIMIT,1.7768804818968378,1.776880481896562,1.1383066635656605,0.0015163529628259287,-0.009103433571458375,72.35018032305807,12.325523294338096,60.00429701805115,16
cpbsd_instance_001_N5_K50_normal_rho0.0_full_hvhm,envy_only,Paper envy indexing,normal,0.0,full,hvhm,TIME_LIMIT,1.7768804818958217,1.7768804818959736,1.1472283104254248,0.0015163529622375105,-0.00018178671169399863,76.39189035791858,17.127534500343614,60.00517392158508,17
cpbsd_instance_001_N5_K50_normal_rho0.0_full_hvhm,subadd_only,Full partition subadditivity,normal,0.0,full,hvhm,TIME_LIMIT,1.7768804818955932,1.7768804818955903,1.1530382763524671,0.0015163529618542615,0.005628179215348306,66.23513421989358,17.127534500347465,60.00547003746033,17
cpbsd_instance_001_N5_K50_normal_rho0.0_full_hvhm,all_paper_switches,All Appendix C switches,normal,0.0,full,hvhm,TIME_LIMIT,1.7768804818956085,1.7768804818955857,1.1518572775184819,0.0015163529618495986,0.004447180381363047,75.70958046162113,16.252726706749222,60.009438037872314,16
cpbsd_instance_002_N5_K50_normal_rho0.0_full_hvhm,current,Current solver,normal,0.0,full,hvhm,TIME_LIMIT,1.5757805172538442,1.5757805172538348,1.1430809948088476,0.0,0.0,0.0,0.0,60.00413203239441,19
cpbsd_instance_002_N5_K50_normal_rho0.0_full_hvhm,outside_only,Paper outside option,normal,0.0,full,hvhm,TIME_LIMIT,1.5757805172538468,1.5757805172538508,1.1449578965609302,1.5987211554602254e-14,0.0018769017520825493,7.655934293232157,4.929125096678437,60.00498008728027,18
cpbsd_instance_002_N5_K50_normal_rho0.0_full_hvhm,envy_only,Paper envy indexing,normal,0.0,full,hvhm,TIME_LIMIT,1.575780535691539,1.5325788850695619,1.148005037641902,-0.043201632184272976,0.004924042833054365,58.35092202539336,20.714046332797384,60.00740599632263,19
cpbsd_instance_002_N5_K50_normal_rho0.0_full_hvhm,subadd_only,Full partition subadditivity,normal,0.0,full,hvhm,TIME_LIMIT,1.5757805172541457,1.5757805172541257,1.1404734286436968,2.90878432451791e-13,-0.0026075661651507875,41.06282301188174,20.49389668507285,60.006742000579834,19
cpbsd_instance_002_N5_K50_normal_rho0.0_full_hvhm,all_paper_switches,All Appendix C switches,normal,0.0,full,hvhm,TIME_LIMIT,1.5757805172538466,1.5757805172538468,1.1473422386603893,1.199040866595169e-14,0.004261243851541696,34.749445034468515,13.288242722891805,60.00532817840576,18
cpbsd_instance_003_N5_K50_normal_rho0.0_full_hvhm,current,Current solver,normal,0.0,full,hvhm,TIME_LIMIT,1.6331180599013777,1.6331180599013733,1.1695096324292646,0.0,0.0,0.0,0.0,60.00688600540161,18
cpbsd_instance_003_N5_K50_normal_rho0.0_full_hvhm,outside_only,Paper outside option,normal,0.0,full,hvhm,TIME_LIMIT,1.6331180599013695,1.6331180599013708,1.1791740833468187,-2.4424906541753444e-15,0.00966445091755408,68.02503626483414,18.515350198676643,60.00655698776245,17
cpbsd_instance_003_N5_K50_normal_rho0.0_full_hvhm,envy_only,Paper envy indexing,normal,0.0,full,hvhm,TIME_LIMIT,1.633118059902719,1.633118059902718,1.1724497971890955,1.3447021274259896e-12,0.0029401647598308323,69.00038755513464,13.522351123367129,60.00804901123047,18
cpbsd_instance_003_N5_K50_normal_rho0.0_full_hvhm,subadd_only,Full partition subadditivity,normal,0.0,full,hvhm,TIME_LIMIT,1.633118059901444,1.6331180599014448,1.166836222222311,7.149836278586008e-14,-0.0026734102069536636,87.98713485760453,15.950356249389563,60.00650215148926,18
cpbsd_instance_003_N5_K50_normal_rho0.0_full_hvhm,all_paper_switches,All Appendix C switches,normal,0.0,full,hvhm,TIME_LIMIT,1.6331180599022201,1.6331180599022737,1.1617244186761022,9.00390872971002e-13,-0.007785213753162434,87.9741296831734,17.52889605367423,60.006986141204834,17
cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_zero,current,Current solver,exponential,-0.5,none,zero,TIME_LIMIT,3.007175311406978,3.007175311406978,2.4518868621900634,0.0,0.0,0.0,0.0,60.00983905792236,12
cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_zero,outside_only,Paper outside option,exponential,-0.5,none,zero,TIME_LIMIT,2.967258976437652,2.9672589764376505,2.3126321775371483,-0.03991633496932767,-0.13925468465291502,84.9755006249201,10.695985383562908,60.011423110961914,11
cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_zero,envy_only,Paper envy indexing,exponential,-0.5,none,zero,TIME_LIMIT,2.9804497969689003,2.980449796968902,2.4501566436361326,-0.026725514438076026,-0.0017302185539307402,83.26285683792503,11.729040762965296,60.017740964889526,9
cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_zero,subadd_only,Full partition subadditivity,exponential,-0.5,none,zero,TIME_LIMIT,2.977743531982284,2.9777435319822674,2.554958629921441,-0.029431779424710758,0.1030717677313775,79.8807159637838,9.458370697034406,60.01145005226135,8
cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_zero,all_paper_switches,All Appendix C switches,exponential,-0.5,none,zero,TIME_LIMIT,2.9777435319814884,2.9777435319814884,2.5891608818120084,-0.02943177942548969,0.13727401962194508,93.71557758246084,11.898334123474537,60.003215074539185,7
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_full_zero,current,Current solver,lognormal,-0.5,full,zero,TIME_LIMIT,19.846466066437394,19.8464660664374,17.60164479307018,0.0,0.0,0.0,0.0,60.01132607460022,3
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_full_zero,outside_only,Paper outside option,lognormal,-0.5,full,zero,TIME_LIMIT,19.84646609968947,19.846466066437703,17.226144168568233,3.019806626980426e-13,-0.3755006245019459,363.32660239183093,32.17288343025963,60.004759073257446,2
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_full_zero,envy_only,Paper envy indexing,lognormal,-0.5,full,zero,TIME_LIMIT,19.846466066437323,19.84646606643733,17.16940657278839,-7.105427357601002e-14,-0.43223822028178915,355.15948169018867,27.797774460757275,60.00824213027954,3
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_full_zero,subadd_only,Full partition subadditivity,lognormal,-0.5,full,zero,TIME_LIMIT,19.8464660664374,19.846466066437433,17.666184887225842,3.197442310920451e-14,0.06454009415566375,112.12948590561444,14.71353811227528,60.00881600379944,3
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_full_zero,all_paper_switches,All Appendix C switches,lognormal,-0.5,full,zero,TIME_LIMIT,19.84646606643739,19.846466066437387,17.069356138643407,-1.4210854715202004e-14,-0.5322886544267718,301.9574672111392,36.65108011987385,60.007396936416626,2
