scale,cost,seed,method,variant,ins,oos,runtime,n_candidates,status
N10_K50,zero,20260413,FCP,fixed,51.948424961593815,50.502887359298434,0.1984109878540039,3,2
N10_K50,zero,20260413,BSP,fixed,51.92644997524129,50.54914458657176,0.4754512310028076,3,2
N10_K50,zero,20260413,FCP,buggy,51.948424961593815,50.502887359298434,0.19429564476013184,3,2
N10_K50,zero,20260413,BSP,buggy,51.92644997524129,50.54914458657176,0.48214101791381836,3,2
N10_K50,zero,20260414,FCP,fixed,51.46782547787435,50.808099997976335,0.24943995475769043,4,2
N10_K50,zero,20260414,BSP,fixed,51.45204501343212,50.742837614546865,0.42017626762390137,4,2
N10_K50,zero,20260414,FCP,buggy,51.46782547787435,50.808099997976335,0.2517740726470947,4,2
N10_K50,zero,20260414,BSP,buggy,51.45204501343212,50.742837614546865,0.4201700687408447,4,2
N10_K50,zero,20260415,FCP,fixed,52.30700136145508,50.24610550780944,0.1842198371887207,4,2
N10_K50,zero,20260415,BSP,fixed,52.30700136145481,50.24610550780944,0.3476107120513916,4,2
N10_K50,zero,20260415,FCP,buggy,52.30700136145508,50.24610550780944,0.1741042137145996,4,2
N10_K50,zero,20260415,BSP,buggy,52.30700136145481,50.24610550780944,0.34813475608825684,4,2
N10_K50,zero,20260416,FCP,fixed,51.700612429511885,50.83786094031354,0.09354805946350098,2,2
N10_K50,zero,20260416,BSP,fixed,51.700612429514294,50.84238226317659,0.5306911468505859,2,2
N10_K50,zero,20260416,FCP,buggy,51.700612429511885,50.83786094031354,0.09432196617126465,2,2
N10_K50,zero,20260416,BSP,buggy,51.700612429514294,50.84238226317659,0.5226118564605713,2,2
N10_K50,zero,20260417,FCP,fixed,52.27410460223148,49.60728057799243,0.10202479362487793,2,2
N10_K50,zero,20260417,BSP,fixed,52.5962716651566,48.02594293599609,0.9918959140777588,2,2
N10_K50,zero,20260417,FCP,buggy,52.27410460223148,49.60728057799243,0.10135221481323242,2,2
N10_K50,zero,20260417,BSP,buggy,52.5962716651566,48.02594293599609,1.001236915588379,2,2
N10_K50,random_ind,20260413,FCP,fixed,23.439725691182808,23.4684273961078,0.06795406341552734,1,2
N10_K50,random_ind,20260413,BSP,fixed,22.85294224989538,22.619919737841535,2.0220859050750732,1,2
N10_K50,random_ind,20260413,FCP,buggy,23.439725691182808,23.4684273961078,0.07175779342651367,1,2
N10_K50,random_ind,20260413,BSP,buggy,22.852942249883505,22.619919737839226,2.2607758045196533,1,2
N10_K50,random_ind,20260414,FCP,fixed,15.594179051626586,15.14960508323519,0.10418319702148438,2,2
N10_K50,random_ind,20260414,BSP,fixed,15.746367361728499,14.181036942945337,1.3022551536560059,2,2
N10_K50,random_ind,20260414,FCP,buggy,15.594179051626991,15.14960508323519,0.1072838306427002,2,2
N10_K50,random_ind,20260414,BSP,buggy,15.746367361726453,14.18103694294538,0.7999658584594727,2,2
N10_K50,random_ind,20260415,FCP,fixed,26.244602100956318,25.365680848715083,0.11132311820983887,2,2
N10_K50,random_ind,20260415,BSP,fixed,23.909713498084187,22.20858255508926,0.7889120578765869,2,2
N10_K50,random_ind,20260415,FCP,buggy,26.244602100955365,25.36568084871497,0.11907815933227539,2,2
N10_K50,random_ind,20260415,BSP,buggy,23.909713498075128,22.20858255508926,0.7931792736053467,2,2
N10_K50,random_ind,20260416,FCP,fixed,25.0591846847736,23.151768815091224,0.10254788398742676,2,2
N10_K50,random_ind,20260416,BSP,fixed,22.37328489286435,20.228000951953014,1.4051868915557861,2,2
N10_K50,random_ind,20260416,FCP,buggy,25.05918468477371,23.151768815091224,0.10587072372436523,2,2
N10_K50,random_ind,20260416,BSP,buggy,22.378566490760885,20.291786772749276,1.3706891536712646,2,2
N10_K50,random_ind,20260417,FCP,fixed,8.887025820654658,8.065008040907294,0.4288320541381836,4,2
N10_K50,random_ind,20260417,BSP,fixed,5.673329958171381,5.448885486155957,3.6958658695220947,4,2
N10_K50,random_ind,20260417,FCP,buggy,8.882375342264814,8.096842652707878,0.3908982276916504,4,2
N10_K50,random_ind,20260417,BSP,buggy,5.673329958171479,5.448885486156075,3.3809192180633545,4,2
N10_K50,random_corr,20260413,FCP,fixed,29.529309735780423,28.730019803040772,0.24691987037658691,3,2
N10_K50,random_corr,20260413,BSP,fixed,29.618893375122084,28.652884411013872,0.6306140422821045,3,2
N10_K50,random_corr,20260413,FCP,buggy,29.524894385546016,28.717818117447464,0.22532916069030762,3,2
N10_K50,random_corr,20260413,BSP,buggy,29.609580221953866,28.6788994830027,0.6208591461181641,3,2
N10_K50,random_corr,20260414,FCP,fixed,25.94719243619781,23.67972101605804,0.6143600940704346,6,2
N10_K50,random_corr,20260414,BSP,fixed,25.99886753174816,23.414026991219835,3.5235111713409424,6,2
N10_K50,random_corr,20260414,FCP,buggy,25.947192436195973,23.679721016056163,0.5376508235931396,6,2
N10_K50,random_corr,20260414,BSP,buggy,25.998867531762716,23.414026991219846,3.363819122314453,6,2
N10_K50,random_corr,20260415,FCP,fixed,32.18958729546833,30.794799339645735,0.3619120121002197,4,2
N10_K50,random_corr,20260415,BSP,fixed,31.816864758927387,29.489558034187237,1.1777329444885254,4,2
N10_K50,random_corr,20260415,FCP,buggy,32.189587295469025,30.794799339645735,0.36283111572265625,4,2
N10_K50,random_corr,20260415,BSP,buggy,31.822904576170963,29.436832693029142,1.3366661071777344,4,2
N10_K50,random_corr,20260416,FCP,fixed,32.23675203219876,30.54379929395914,0.27573394775390625,5,2
N10_K50,random_corr,20260416,BSP,fixed,31.163918213747092,30.311590534705967,2.4785380363464355,5,2
N10_K50,random_corr,20260416,FCP,buggy,32.236752032189244,30.54379929399064,0.3015708923339844,5,2
N10_K50,random_corr,20260416,BSP,buggy,31.16391821373653,30.31159053470443,1.3106749057769775,5,2
N10_K50,random_corr,20260417,FCP,fixed,18.58717090937536,16.20448366084434,3.300651788711548,10,2
N10_K50,random_corr,20260417,BSP,fixed,18.352744451922348,15.796320865665589,1.5366489887237549,10,2
N10_K50,random_corr,20260417,FCP,buggy,18.584298751499013,16.242949353617682,3.7990589141845703,10,2
N10_K50,random_corr,20260417,BSP,buggy,18.35274445192244,15.796320865665503,0.8553910255432129,10,2
N30_K50,zero,20260413,FCP,fixed,159.37464676762548,155.93698219138042,0.48296308517456055,7,2
N30_K50,zero,20260413,BSP,fixed,159.2784993174886,155.98691243926584,1.1295549869537354,7,2
N30_K50,zero,20260413,FCP,buggy,159.37464676762548,155.93698219138042,0.4826500415802002,7,2
N30_K50,zero,20260413,BSP,buggy,159.2784993174886,155.98691243926584,1.1686699390411377,7,2
N30_K50,zero,20260414,FCP,fixed,157.91275762157838,156.98657647000397,0.18814492225646973,5,2
N30_K50,zero,20260414,BSP,fixed,157.91275762157935,156.99686362737756,1.3853540420532227,5,2
N30_K50,zero,20260414,FCP,buggy,157.91275762157838,156.98657647000397,0.18242192268371582,5,2
N30_K50,zero,20260414,BSP,buggy,157.91275762157935,156.99686362737756,1.2919321060180664,5,2
N30_K50,zero,20260415,FCP,fixed,159.7925167742184,155.85926847785194,0.23203802108764648,6,2
N30_K50,zero,20260415,BSP,fixed,159.79251677432848,155.79770385487745,1.431001901626587,6,2
N30_K50,zero,20260415,FCP,buggy,159.7925167742184,155.85926847785194,0.23024487495422363,6,2
N30_K50,zero,20260415,BSP,buggy,159.79251677432848,155.79770385487745,1.3588058948516846,6,2
N30_K50,zero,20260416,FCP,fixed,158.65168802382925,157.10483598507457,0.255220890045166,7,2
N30_K50,zero,20260416,BSP,fixed,158.66854541914856,156.9799432282676,1.538996934890747,7,2
N30_K50,zero,20260416,FCP,buggy,158.65168802382925,157.10483598507457,0.25527024269104004,7,2
N30_K50,zero,20260416,BSP,buggy,158.66854541914856,156.9799432282676,1.5103297233581543,7,2
N30_K50,zero,20260417,FCP,fixed,159.58713631364844,155.41677716117465,0.41440510749816895,7,2
N30_K50,zero,20260417,BSP,fixed,159.3900291491743,155.6495586351736,1.8724110126495361,7,2
N30_K50,zero,20260417,FCP,buggy,159.58713631364844,155.41677716117465,0.41998791694641113,7,2
N30_K50,zero,20260417,BSP,buggy,159.3900291491743,155.6495586351736,1.900465965270996,7,2
N30_K50,random_ind,20260413,FCP,fixed,55.28220174686396,54.07295118531269,1.9669408798217773,10,2
N30_K50,random_ind,20260413,BSP,fixed,47.50978895918221,46.58539871454394,40.4159460067749,10,2
N30_K50,random_ind,20260413,FCP,buggy,55.28402345133086,54.05233573399136,3.245148181915283,10,2
N30_K50,random_ind,20260413,BSP,buggy,47.50978895746144,46.58539871454436,30.43379783630371,10,2
N30_K50,random_ind,20260414,FCP,fixed,63.13172430735171,63.03039952870867,0.16264104843139648,2,2
N30_K50,random_ind,20260414,BSP,fixed,54.07417490541754,51.47143754810944,57.7878258228302,2,2
N30_K50,random_ind,20260414,FCP,buggy,63.13172430451036,63.030399525700055,0.20044684410095215,2,2
N30_K50,random_ind,20260414,BSP,buggy,54.07328391171113,51.478817088210086,45.90281391143799,2,2
N30_K50,random_ind,20260415,FCP,fixed,52.65749762603125,49.551670456586166,0.5465199947357178,5,2
N30_K50,random_ind,20260415,BSP,fixed,37.87474939773379,36.05767202866832,57.665745973587036,5,2
N30_K50,random_ind,20260415,FCP,buggy,52.691853274142495,49.43508898408491,0.6169517040252686,5,2
N30_K50,random_ind,20260415,BSP,buggy,37.874749385964535,36.05767202866875,51.47298502922058,5,2
N30_K50,random_ind,20260416,FCP,fixed,49.49747760102871,47.022923162687945,0.7754371166229248,7,2
N30_K50,random_ind,20260416,BSP,fixed,34.22251020287159,30.173543723886425,43.8710401058197,7,2
N30_K50,random_ind,20260416,FCP,buggy,49.50029012302136,46.94739263542506,0.5924859046936035,7,2
N30_K50,random_ind,20260416,BSP,buggy,34.22250996751481,30.173543507357454,65.14641284942627,7,2
N30_K50,random_ind,20260417,FCP,fixed,60.14291281532135,59.45923242771714,0.6861579418182373,9,2
N30_K50,random_ind,20260417,BSP,fixed,58.27618331286035,57.909198626906,22.158090829849243,9,2
N30_K50,random_ind,20260417,FCP,buggy,60.142226312865716,59.4501728029146,0.719595193862915,9,2
N30_K50,random_ind,20260417,BSP,buggy,58.27618331266807,57.90919862690722,13.36252760887146,9,2
N30_K50,random_corr,20260413,FCP,fixed,82.80060694477875,80.58646459511775,3.9593913555145264,21,2
N30_K50,random_corr,20260413,BSP,fixed,82.22172686627441,76.658380223981,4.119617700576782,21,2
N30_K50,random_corr,20260413,FCP,buggy,82.81019601304675,80.51949667375177,2.4455649852752686,21,2
N30_K50,random_corr,20260413,BSP,buggy,82.22172686627309,76.65838022398148,3.3885371685028076,21,2
N30_K50,random_corr,20260414,FCP,fixed,95.61644627258099,90.76809005767228,0.7548573017120361,14,2
N30_K50,random_corr,20260414,BSP,fixed,95.5251223736491,90.5789322187496,5.478053092956543,14,2
N30_K50,random_corr,20260414,FCP,buggy,95.61440295399039,90.76791042548672,0.8884520530700684,14,2
N30_K50,random_corr,20260414,BSP,buggy,95.51077678956571,90.46203318529665,5.322639226913452,14,2
N30_K50,random_corr,20260415,FCP,fixed,69.84853411230387,66.50731225093077,0.9647407531738281,13,2
N30_K50,random_corr,20260415,BSP,fixed,65.95702932212255,63.612781564621514,6.590896129608154,13,2
N30_K50,random_corr,20260415,FCP,buggy,69.81793933400793,66.72267790970591,1.8640077114105225,13,2
N30_K50,random_corr,20260415,BSP,buggy,65.96288020005,63.600282218256666,7.864309787750244,13,2
N30_K50,random_corr,20260416,FCP,fixed,73.29616760176792,70.74623606809604,38.40820598602295,34,2
N30_K50,random_corr,20260416,BSP,fixed,70.218008216433,68.0572119461274,13.37927794456482,34,2
N30_K50,random_corr,20260416,FCP,buggy,73.28446943014777,70.83241643074089,31.06702423095703,34,2
N30_K50,random_corr,20260416,BSP,buggy,70.21820270765275,68.05661288789169,10.802573204040527,34,2
N30_K50,random_corr,20260417,FCP,fixed,94.0510577901085,86.97378224760806,8.275387048721313,14,2
N30_K50,random_corr,20260417,BSP,fixed,91.99093288275692,88.03135763374296,0.9951522350311279,14,2
N30_K50,random_corr,20260417,FCP,buggy,94.05001466016445,86.67649961735636,3.097801923751831,14,2
N30_K50,random_corr,20260417,BSP,buggy,91.99093288274132,88.03135763374347,0.986328125,14,2
